Data Analysis Run
	ROI:	[2300 2900 1200 2000]
	ROIbox:	[ 2299.5  2899.5  1199.5  1999.5]
	SOI:	[2000 3200  800 2400]
	extent:	[ 1999.5  3199.5   799.5  2399.5]
	high:	255
	ind:	[ 300  900  400 1200]
	low:	15

Checking/finding image files...
Number of files found*:	801
Number of errors:      	3
*Excluding duplicates.

Errors:
run	key1	key2	start	stop	serial numumber	number found
1	room	main	67	73	67	0
1	cryo	main	121	129	125	0
2	grid	cryo	556	565	560	0
Run	Type	Set	Current	Serial Num.	Mean x	Std. Dev. x	Mean y	Std. Dev. y
1	room	main	0.0	49	2558.137845005344	40.74686661073384	1456.1653394427142	105.7152016890071
1	room	main	0.0	50	2563.0120697083767	40.849032224519426	1456.2838564107217	104.92201053228682
1	room	main	0.0	51	2560.231793510286	39.83693949688514	1457.8497845928216	104.68607392079052
1	room	main	0.108	52	2568.610167012801	39.407903820975626	1451.8049153902352	103.60088567515469
1	room	main	0.108	53	2570.6248749592314	39.29220347054354	1451.7637801251672	104.13458969061614
1	room	main	0.108	54	2567.9837970862523	38.494207984655475	1452.8706132458879	104.93292929465794
1	room	main	0.108	55	2568.5926236306323	38.65330508224757	1452.743077424259	104.43466646172759
1	room	main	0.108	56	2568.166793908942	38.278846636547115	1453.7089177600626	104.29837332133268
1	room	main	0.206	57	2581.143598250316	37.0913886688234	1449.0328368072994	102.90124879019234
1	room	main	0.206	58	2581.8917797099716	36.75215949159582	1448.8089617943508	102.41806892054085
1	room	main	0.206	59	2582.3385019773377	36.829324867573554	1449.2427509079741	102.4575849421099
1	room	main	0.206	60	2579.894609144953	36.55317544319415	1446.3498300157808	102.66081856104917
1	room	main	0.206	61	2579.591080949016	36.587985703477095	1450.2546052201258	102.40786137214508
1	room	main	0.31	62	2596.3414432909067	35.32517540179786	1447.818313600295	100.71878851042787
1	room	main	0.31	63	2595.705372237425	35.123131787244084	1446.9856327650725	100.1394922872093
1	room	main	0.31	64	2593.794209392177	34.606488276312675	1446.8302331128775	100.62494093399172
1	room	main	0.31	65	2595.619300760562	34.90673483579471	1447.1634330473319	100.44131532516182
1	room	main	0.31	66	2593.0084298094953	34.241892904591424	1446.1424140705255	100.2661956324366
1	room	main	0.403	68	2607.8404687817015	34.35742811630476	1448.6643465019451	98.88715439469414
1	room	main	0.403	69	2608.6042546338626	34.740247634217745	1448.690557725875	98.08671104371052
1	room	main	0.403	70	2607.387419602214	34.39128643327446	1448.3272251308902	98.09431812080742
1	room	main	0.403	71	2607.136704654783	34.243044435998456	1447.402986944859	98.70974459674218
1	room	main	0.403	72	2608.7473541862655	34.111508395411875	1447.9010108688349	98.13288156074955
1	room	main	0.5	73	2617.011421981893	33.13367044259028	1448.6948384957138	97.21416156872996
1	room	main	0.5	74	2618.556507586502	33.33906732564667	1450.9828987567973	97.57055968185259
1	room	main	0.5	75	2620.252962059054	33.28606600330123	1453.2639583692865	97.19415074161329
1	room	main	0.5	76	2618.9028445119093	33.08613437252854	1451.3900794358754	96.78340317261254
1	room	main	0.5	77	2618.0724720345006	33.26307291404982	1450.16112161706	97.68221571044114
1	room	main	0.61	78	2631.857267400572	31.215521157500657	1456.4175310510618	96.61232123552556
1	room	main	0.61	79	2631.356707534939	31.01782094519788	1455.7245080145262	96.60674136257674
1	room	main	0.61	80	2632.1909466888123	30.509176902186844	1456.6574356930378	96.59288874292895
1	room	main	0.61	81	2631.319106099098	30.904185426175125	1456.4562677435324	96.7923740620723
1	room	main	0.61	82	2628.791767591742	31.107318369429215	1456.4359831352756	96.60911001648293
1	room	main	0.71	83	2638.304065466433	28.643133406616744	1459.1355805181317	96.67153819615946
1	room	main	0.71	84	2641.3144403648184	28.420846076511157	1460.719676814591	95.85371961755459
1	room	main	0.71	85	2640.6570659915437	28.63920367908486	1460.0304048029147	96.26253809788881
1	room	main	0.71	86	2641.0536921693565	28.11150499244965	1460.5900774049048	96.08380979053601
1	room	main	0.71	87	2640.467458804722	28.46529118058126	1458.983708622543	96.55503051731645
1	room	main	0.803	88	2647.1760835168748	26.142903992752636	1464.2216776600112	96.93108873249204
1	room	main	0.803	89	2648.251504145981	25.805231112328254	1466.6998069310528	95.90173428225296
1	room	main	0.803	90	2647.8474079764574	25.99778071457049	1466.6182826755785	95.89430140024365
1	room	main	0.803	91	2649.410823611563	25.92382800008756	1468.984844072351	95.78004461028006
1	room	main	0.803	92	2648.039821506303	25.837455938028267	1465.9099706840664	96.441871532901
1	room	main	0.9	92	2648.039821506303	25.837455938028267	1465.9099706840664	96.441871532901
1	room	main	0.9	93	2654.414688248713	24.05823649264898	1471.419796407323	96.01229608756658
1	room	main	0.9	94	2654.7474271481706	23.690387002290155	1472.1519077916573	95.66359156329209
1	room	main	0.9	95	2655.35814921336	22.82360733654259	1473.1084493858755	95.56585475885831
1	room	main	0.9	96	2654.967138188884	24.057741680814182	1473.9968573363165	95.54363722047857
1	room	main	0.9	97	2655.2050035235243	23.12211688039374	1471.9340832696396	95.73196539149583
1	room	main	1.0	98	2659.976670780283	23.480695455504158	1480.8429040122805	93.22325860490402
1	room	main	1.0	99	2661.0768771992603	23.221715546432737	1481.0701337945568	95.08588040938227
1	room	main	1.0	100	2661.0780624559898	22.170040102973537	1478.9370224767758	95.83834568973093
1	room	main	1.0	101	2660.1071303825206	22.890928366895867	1482.1831993740109	95.04365738539464
1	room	main	1.0	102	2659.4687059076555	21.045284166049875	1479.2844956252977	94.06674958930502
1	room	main	1.1	103	2665.8618682308647	25.333505277498002	1493.901805372083	92.55941396547001
1	room	main	1.1	104	2666.829154993869	30.003837070958337	1500.5602540120115	91.53486174089062
1	room	main	1.1	105	2666.4232372613196	27.12585191325186	1497.3055357905223	89.36666984759223
1	room	main	1.1	106	2665.658078226148	27.600869172695933	1497.834155121302	92.1008853585899
1	room	main	1.1	107	2665.9810277536862	28.097586327507823	1494.9225521129288	92.25285129177985
1	room	main	1.372	108	2657.842778793419	192.44483280336726	1617.3462065813528	193.73022131577162
1	room	main	1.372	109	2666.043771043771	184.27177632558534	1645.584656084656	203.32733514977718
